Year,Month,Day,Hour,Weekday
2023,1,1,0,1
2023,1,1,1,1
2023,1,1,2,1
2023,1,1,3,1
2023,1,1,4,1
2023,1,1,5,1
2023,1,1,6,1
2023,1,1,7,1
2023,1,1,8,1
2023,1,1,9,1
2023,1,1,10,1
2023,1,1,11,1
2023,1,1,12,1
2023,1,1,13,1
2023,1,1,14,1
2023,1,1,15,1
2023,1,1,16,1
2023,1,1,17,1
2023,1,1,18,1
2023,1,1,19,1
2023,1,1,20,1
2023,1,1,21,1
2023,1,1,22,1
2023,1,1,23,1
2023,1,2,0,2
2023,1,2,1,2
2023,1,2,2,2
2023,1,2,3,2
2023,1,2,4,2
2023,1,2,5,2
2023,1,2,6,2
2023,1,2,7,2
2023,1,2,8,2
2023,1,2,9,2
2023,1,2,10,2
2023,1,2,11,2
2023,1,2,12,2
2023,1,2,13,2
2023,1,2,14,2
2023,1,2,15,2
2023,1,2,16,2
2023,1,2,17,2
2023,1,2,18,2
2023,1,2,19,2
2023,1,2,20,2
2023,1,2,21,2
2023,1,2,22,2
2023,1,2,23,2
2023,1,3,0,3
2023,1,3,1,3
2023,1,3,2,3
2023,1,3,3,3
2023,1,3,4,3
2023,1,3,5,3
2023,1,3,6,3
2023,1,3,7,3
2023,1,3,8,3
2023,1,3,9,3
2023,1,3,10,3
2023,1,3,11,3
2023,1,3,12,3
2023,1,3,13,3
2023,1,3,14,3
2023,1,3,15,3
2023,1,3,16,3
2023,1,3,17,3
2023,1,3,18,3
2023,1,3,19,3
2023,1,3,20,3
2023,1,3,21,3
2023,1,3,22,3
2023,1,3,23,3
